time,gFx,gFy,gFz,TgF
5.87,-0.6994,-0.7028,0.0427,0.992
5.873,-0.6935,-0.6998,0.0393,0.986
5.875,-0.6881,-0.6987,0.0354,0.981
5.878,-0.6821,-0.6982,0.031,0.977
5.88,-0.6807,-0.6976,0.0266,0.975
5.883,-0.6777,-0.6991,0.0222,0.9740000000000001
5.885,-0.6752,-0.6976,0.0173,0.971
6.021,-0.6727,-0.6956,0.0149,0.968
6.021,-0.6737,-0.6951,0.0134,0.968
6.022,-0.6727,-0.6956,0.012,0.968
6.022,-0.6707,-0.6946,0.0144,0.966
6.023,-0.6722,-0.6951,0.0159,0.9670000000000001
6.023,-0.6712,-0.6956,0.0164,0.9670000000000001
6.023,-0.6712,-0.697,0.0164,0.968
6.024,-0.6722,-0.6986,0.0183,0.97
6.024,-0.6737,-0.6981,0.0173,0.97
6.024,-0.6747,-0.6976,0.0159,0.971
6.024,-0.6752,-0.699,0.0159,0.972
6.025,-0.6757,-0.699,0.0144,0.972
6.025,-0.6756,-0.6995,0.0139,0.973
6.025,-0.6737,-0.701,0.0115,0.972
6.025,-0.6737,-0.699,0.0085,0.971
6.026,-0.6726,-0.6985,0.0061,0.97
6.026,-0.6696,-0.697,0.0042,0.9670000000000001
6.026,-0.6687,-0.6945,0.0032,0.9640000000000001
6.026,-0.6686,-0.6931,-0.0007,0.963
6.027,-0.6686,-0.6906,-0.0037,0.961
6.027,-0.6667,-0.6871,-0.0061,0.9570000000000001
6.027,-0.6658,-0.6847,-0.0081,0.955
6.027,-0.6638,-0.6813,-0.011,0.951
6.028,-0.6633,-0.6759,-0.0149,0.9470000000000001
6.028,-0.6633,-0.6744,-0.0178,0.946
6.028,-0.6609,-0.6709,-0.0217,0.9420000000000001
6.028,-0.6589,-0.6665,-0.0247,0.938
6.028,-0.6594,-0.664,-0.0286,0.9359999999999999
6.029,-0.6619,-0.6597,-0.032,0.935
6.029,-0.6638,-0.6602,-0.0384,0.937
6.029,-0.6657,-0.6616,-0.0418,0.94
6.029,-0.6652,-0.6607,-0.0452,0.9390000000000001
6.029,-0.6666,-0.6631,-0.0472,0.941
6.03,-0.6641,-0.6636,-0.0501,0.94
6.03,-0.6607,-0.6606,-0.0506,0.9359999999999999
6.03,-0.6588,-0.66,-0.0545,0.934
6.03,-0.6558,-0.6596,-0.053,0.932
6.03,-0.6558,-0.661,-0.0545,0.9329999999999999
6.031,-0.6544,-0.66,-0.0526,0.9309999999999999
6.031,-0.6529,-0.66,-0.0516,0.93
6.031,-0.6505,-0.6639,-0.0506,0.9309999999999999
6.031,-0.6505,-0.6634,-0.0491,0.93
6.031,-0.6486,-0.6634,-0.0457,0.929
6.032,-0.6471,-0.6629,-0.0413,0.927
6.032,-0.6481,-0.6634,-0.036,0.9279999999999999
6.032,-0.6472,-0.6634,-0.0325,0.927
6.032,-0.6482,-0.6644,-0.0271,0.929
6.033,-0.6492,-0.6683,-0.0208,0.932
6.033,-0.6497,-0.6727,-0.0154,0.935
6.033,-0.6512,-0.6782,-0.009,0.94
6.033,-0.6531,-0.6836,-0.0042,0.945
6.033,-0.6536,-0.6904,-0.0007,0.951
6.034,-0.656,-0.6978,0.0037,0.958
6.034,-0.6559,-0.7037,0.0076,0.9620000000000001
6.034,-0.6559,-0.7091,0.0129,0.966
6.034,-0.6534,-0.716,0.0159,0.9690000000000001
6.034,-0.6538,-0.7257,0.0173,0.977
6.035,-0.6523,-0.733,0.0222,0.981
6.035,-0.6522,-0.7429,0.0247,0.9890000000000001
6.035,-0.6546,-0.7498,0.0271,0.996
